Timestamp,Username,Hostname,Source IP,Source Location,Event ID,Logon Type,Result,Description
2026-08-28 09:02:00,Shreya,WORKSTATION-SHREYA,185.220.101.45,"Chandigarh, India",4625,10,Success,Successful interactive logon
2026-08-28 09:03:03,Shreya,WORKSTATION-SHREYA,185.220.101.45,"Chandigarh, India",4624,10,Success,Successful interactive logon
2026-08-31 09:01:32,Shreya,WORKSTATION-SHREYA,185.220.101.45,"Chandigarh, India",4624,10,Success,Successful interactive logon
2026-09-01 09:00:00,Shreya,WORKSTATION-SHREYA,185.220.101.45,"Chandigarh, India",4625,10,Failed,User authentication failed
2026-09-01 09:01:52,Shreya,WORKSTATION-SHREYA,185.220.101.45,"Chandigarh, India",4624,10,Success,Successful interactive logon
2026-09-02 09:05:00,Shreya,WORKSTATION-SHREYA,185.220.101.45,"Chandigarh, India",4624,10,Success,Successful interactive logon
2026-09-03 09:03:20,Shreya,WORKSTATION-SHREYA,185.220.101.45,"Chandigarh, India",4624,10,Success,Successful interactive logon
2026-09-04 09:02:00,Shreya,WORKSTATION-SHREYA,185.220.101.45,"Chandigarh, India",4624,10,Success,Successful interactive logon
2026-09-07 03:00:00,Shreya,WORKSTATION-SHREYA,216.194.166.140,"Los Angeles, USA",4625,10,Failed,User authentication failed
2026-09-07 03:00:10,Shreya,WORKSTATION-SHREYA,216.194.166.140,"Los Angeles, USA",4625,10,Failed,User authentication failed
2026-09-07 03:00:20,Shreya,WORKSTATION-SHREYA,216.194.166.140,"Los Angeles, USA",4625,10,Failed,User authentication failed
2026-09-07 03:00:30,Shreya,WORKSTATION-SHREYA,216.194.166.140,"Los Angeles, USA",4625,10,Failed,User authentication failed
2026-09-07 03:00:40,Shreya,WORKSTATION-SHREYA,216.194.166.140,"Los Angeles, USA",4624,10,Success,Successful interactive logon
